element_type,file,line,snippet,context
button,src/features/manifest-editor/components/inspector/aesthetic/styles/library/LibraryBatchOps.tsx,23,"<button \n        onClick={onExport} \n        className=""flex-1 flex items-center justify-center gap-2 py-2 bg-black/40 border wb-outline rounded-xs hover:bg-primary/5 group transition-all""\n      >\","export default function LibraryBatchOps({ onExport, onImport }: LibraryBatchOpsProps) { return ( <div className=""flex it"
button,src/features/manifest-editor/components/inspector/aesthetic/styles/library/LibraryBatchOps.tsx,30,"<button \n        onClick={onImport} \n        className=""flex-1 flex items-center justify-center gap-2 py-2 bg-black/40 border wb-outline rounded-xs hover:bg-primary/5 group transition-all""\n      >\","<Download className=""w-3 h-3 wb-text-muted group-hover:text-primary"" /> <span className=""text-[8px] font-black uppercase"
button,src/features/manifest-editor/components/inspector/aesthetic/styles/library/StyleVariantCard.tsx,102,"<button \n                  onClick={(e) => { e.stopPropagation(); onApply(); }}\n                  className=""px-1.5 py-0.5 bg-accent/10 border border-accent/20 rounded-[2px] text-[5px] font-black up","<span className=""text-[6px] font-mono text-white/20"">{style.id.slice(-6)}</span> <div className=""flex items-center gap-1"
"input[type=""text""]",src/features/manifest-editor/components/inspector/aesthetic/styles/library/StyleVariantCard.tsx,91,"<input \n          type=""text"" \n          value={style.label}\n          onChange={(e) => onLabelChange(e.target.value)}",</div> </div>
button,src/features/manifest-editor/components/inspector/aesthetic/styles/ModuleStyleLibrary.tsx,172,<button \n                onClick={() => setShowAll(!showAll)}\n                className={`flex items-center gap-2 px-3 py-1.5 rounded-xs border text-[7px] font-black uppercase transition-all ${showA,{showAll ? 'Showing all industrial elements' : 'Showing only elements present in Rack'} </span> </div>
button,src/features/manifest-editor/components/inspector/aesthetic/styles/ModuleStyleLibrary.tsx,233,"<button \n                        onClick={() => addVariation(type)}\n                        className=""flex items-center gap-1.5 px-2 py-0.5 rounded-xs border text-[7px] font-black uppercase transit","<div className=""flex items-center justify-between border-b wb-outline pb-2""> <span className=""text-[7px] font-black uppe"
button,src/features/manifest-editor/components/inspector/aesthetic/typography/components/FontAssetManager.tsx,70,"<button \n              onClick={() => onRemove(idx)}\n              className=""p-1.5 text-foreground/20 hover:text-red-400 hover:wb-surface-subtle rounded-xs transition-all""\n            >\n         ","<span className=""text-[10px] font-bold text-accent"">{font.name}</span> <span className=""text-[7px] font-mono wb-text-mut"
button,src/features/manifest-editor/components/inspector/attachments/AttachmentCard.tsx,66,"<button \n              onClick={(e) => { e.stopPropagation(); onRemove(idx as number); }} \n              className=""p-1 wb-text-muted hover:text-red-500 transition-colors opacity-0 group-hover:opaci","</div> <div className=""flex items-center gap-2""> {!isCore && ("
"input[type=""text""]",src/features/manifest-editor/components/inspector/attachments/AttachmentLogicFields.tsx,59,"<input \n            type=""text"" \n            value={att.text || ''} \n            onChange={(e) => onUpdate({ text: e.target.value })}","<Type className=""w-2 h-2"" /> <span>{isStepper ? 'Button Literal' : 'Static Content'}</span> </label>"
"input[type=""range""]",src/features/manifest-editor/components/inspector/attachments/AttachmentPrecisionOffsets.tsx,37,"<input \n            type=""range"" min=""-64"" max=""64"" \n            value={offsetY || 0} \n            onChange={(e) => onUpdate({ offsetY: parseInt(e.target.value) })}","<span className=""text-[6px] wb-text-muted uppercase font-black tracking-widest transition-colors duration-500"">Vertical "
"input[type=""range""]",src/features/manifest-editor/components/inspector/attachments/AttachmentPrecisionOffsets.tsx,50,"<input \n            type=""range"" min=""-64"" max=""64"" \n            value={offsetX || 0} \n            onChange={(e) => onUpdate({ offsetX: parseInt(e.target.value) })}","<span className=""text-[6px] wb-text-muted uppercase font-black tracking-widest transition-colors duration-500"">Horizonta"
button,src/features/manifest-editor/components/inspector/attachments/AttachmentsHeader.tsx,30,"<button \n        onClick={onAdd}\n        className=""flex items-center gap-1.5 px-2 py-1 bg-primary text-background hover:scale-105 transition-all rounded-xs shadow-lg shadow-primary/20""\n      >\n  ","<Info className=""w-3 h-3"" /> </button> </div>"
button,src/features/manifest-editor/components/inspector/attachments/AttachmentVariantSpec.tsx,41,<button \n              key={s}\n              onClick={() => {\n                const parts = currentVariant.split('_');\n                onUpdate({ variant: `${s}_${parts[1] || 'cyan'}` });\n       ,"/> <div className=""flex gap-1""> {['A', 'B', 'C', 'D'].map(s => ("
"input[type=""text""]",src/features/manifest-editor/components/inspector/attachments/AttachmentVariantSpec.tsx,32,"<input \n          type=""text"" \n          value={currentVariant} \n          onChange={(e) => onUpdate({ variant: e.target.value })}","<span>OMEGA Variant (Size_Color)</span> </label> <div className=""flex gap-2"">"
button,src/features/manifest-editor/components/inspector/BlueprintLibraryPanel.tsx,151,<button\n          onClick={() => setActiveTab('official')}\n          className={`flex-1 flex items-center justify-center gap-1.5 px-3 py-1.5 text-[8px] font-black uppercase tracking-wider rounded-,"<div className=""flex-1 flex flex-col overflow-hidden wb-surface text-[9px] font-sans""> {/* TABS — Tech-Noir Glassmorphis"
button,src/features/manifest-editor/components/inspector/BlueprintLibraryPanel.tsx,162,<button\n          onClick={() => setActiveTab('library')}\n          className={`flex-1 flex items-center justify-center gap-1.5 px-3 py-1.5 text-[8px] font-black uppercase tracking-wider rounded-[,"<BookOpen className=""w-3 h-3"" /> Official Store </button>"
button,src/features/manifest-editor/components/inspector/BlueprintLibraryPanel.tsx,276,"<button\n              onClick={onLoadAcepack}\n              className=""flex items-center justify-center gap-2 px-3 py-2 border border-dashed border-primary/30 rounded-xs hover:border-primary/60 ho",{activeTab === 'library' && ( <> {/* LOAD BUTTON */}
"input[type=""text""]",src/features/manifest-editor/components/inspector/BlueprintLibraryPanel.tsx,179,"<input\n            type=""text""\n            placeholder={`Search ${activeTab === 'official' ? 'store' : 'local'} blueprints...`}\n            value={searchQuery}\n            onChange={(e) => set","<div className=""p-2 border-b wb-outline flex flex-col gap-1.5 wb-surface-subtle shrink-0""> <div className=""relative flex"
button,src/features/manifest-editor/components/inspector/CellPreview.tsx,32,"<button \n        onClick={() => setIsCollapsed(!isCollapsed)}\n        className=""absolute top-2 right-2 z-50 p-1.5 rounded-xs wb-surface-strong hover:bg-primary/10 border wb-outline wb-text-muted ","return ( <div className=""relative group""> {/* COLLAPSE TOGGLE */}"
button,src/features/manifest-editor/components/inspector/CompliancePanel.tsx,160,<button\n                onClick={() => toggleGroup(group)}\n                className={`flex items-center gap-1.5 px-2 py-1.5 ${cfg.bg} ${cfg.border} border-b border-white/5 hover:bg-white/5 transiti,"return ( <div key={group} className=""flex flex-col border border-white/5 rounded-xs overflow-hidden""> {/* Group header —"
button,src/features/manifest-editor/components/inspector/CompliancePanel.tsx,212,"<button\n            onClick={() => setShowGuidelines(!showGuidelines)}\n            className=""flex items-center gap-1.5 px-2 py-1.5 bg-primary/5 border-b border-white/5 hover:bg-white/5 transition-c","{/* Collapsible Guidelines Section (Migrated from AuditGuidelines) */} <div className=""flex flex-col border border-white"
button,src/features/manifest-editor/components/inspector/CompliancePanel.tsx,254,"<button\n          onClick={handleDownload}\n          className=""flex-1 flex items-center justify-center gap-1.5 px-2 py-1.5 rounded-xs bg-primary/10 border border-primary/30 text-primary hover:bg-pr","{/* ── FOOTER ACTIONS ──────────────────────────────────── */} <div className=""shrink-0 p-2 border-t border-white/5 bg-b"
button,src/features/manifest-editor/components/inspector/CompliancePanel.tsx,306,"<button\n        onClick={() => setExpanded(!expanded)}\n        className=""w-full flex items-center gap-1.5 px-2 py-1.5 hover:bg-white/5 transition-colors text-left""\n      >\n        <div className=","return ( <div className=""border-b border-white/5 last:border-b-0""> {/* Clickable row — toggle detail */}"
button,src/features/manifest-editor/components/inspector/CompliancePanel.tsx,354,"<button\n                    onClick={(e) => {\n                      e.stopPropagation();\n                      onNavigate(issue.path!);\n                    }}\n                    className=""flex ",{/* Locate in Workbench */} {onNavigate && issue.path && (
button,src/features/manifest-editor/components/inspector/container/ContainerCard.tsx,53,"<button \n            onClick={(e) => { e.stopPropagation(); onUpdate(container.id, { collapsed: !container.collapsed }); }}\n            className={`p-1.5 rounded-xs transition-all ${container.collap","</div> </div> <div className=""flex items-center gap-1"">"
button,src/features/manifest-editor/components/inspector/container/ContainerCard.tsx,60,"<button \n            onClick={(e) => { e.stopPropagation(); onRemove(container.id); }}\n            className=""p-1.5 text-foreground/20 hover:text-red-400 hover:bg-red-500/5 rounded-xs transition-all","> {container.collapsed ? <Maximize className=""w-3.5 h-3.5"" /> : <Minimize2 className=""w-3.5 h-3.5"" />} </button>"
"input[type=""text""]",src/features/manifest-editor/components/inspector/container/ContainerCard.tsx,42,"<input \n              type=""text"" \n              value={container.label} \n              onChange={(e) => { e.stopPropagation(); onUpdate(container.id, { label: e.target.value }); }}","{isExpanded ? <ChevronDown className=""w-4 h-4"" /> : <ChevronRight className=""w-4 h-4"" />} </div> <div className=""flex fl"
button,src/features/manifest-editor/components/inspector/container/ContainerForm.tsx,44,"<button\n                key={s.id}\n                onClick={() => onUpdate(container.id, { \n                  variant: s.id,\n                  // Purge local overrides to force style library inher","{containerStyles.length > 0 ? ( <div className=""grid grid-cols-2 gap-1.5""> {containerStyles.map(s => ("
"input[type=""number""]",src/features/manifest-editor/components/inspector/container/ContainerForm.tsx,85,"<input \n                   type=""number"" \n                   value={container.pos.x} \n                   onChange={(e) => onUpdate(container.id, { pos: { ...container.pos, x: parseInt(e.target.valu","<div className=""flex gap-2""> <div className=""flex-1 flex items-center bg-black/40 border border-outline/10 rounded-xs px"
"input[type=""number""]",src/features/manifest-editor/components/inspector/container/ContainerForm.tsx,94,"<input \n                   type=""number"" \n                   value={container.pos.y} \n                   onChange={(e) => onUpdate(container.id, { pos: { ...container.pos, y: parseInt(e.target.valu","</div> <div className=""flex-1 flex items-center bg-black/40 border border-outline/10 rounded-xs px-2 py-1""> <span classN"
"input[type=""number""]",src/features/manifest-editor/components/inspector/container/ContainerForm.tsx,124,"<input \n                   type=""number"" \n                   value={container.size.height} \n                   onChange={(e) => onUpdate(container.id, { size: { ...container.size, height: parseInt(","</select> <div className=""flex-1 flex items-center bg-black/40 border border-outline/10 rounded-xs px-2 py-1""> <span cla"
button,src/features/manifest-editor/components/inspector/editors/ColorInput.tsx,38,<button\n            key={s}\n            className={`w-4 h-4 rounded border ${value === s ? 'border-white' : 'border-transparent'}`}\n            style={{ backgroundColor: s }}\n            onClick={,"</div> <div className=""flex gap-0.5 mt-1""> {SWATCHES.map((s) => ("
"input[type=""color""]",src/features/manifest-editor/components/inspector/editors/ColorInput.tsx,24,"<input\n          className=""w-5 h-5 rounded border border-[#333] cursor-pointer""\n          type=""color""\n          value={value || '#333333'}\n          onChange={(e) => onChange(e.target.value)}","<div> <label className=""text-[10px] text-gray-500 block"">{label}</label> <div className=""flex items-center gap-1"">"
"input[type=""text""]",src/features/manifest-editor/components/inspector/editors/ColorInput.tsx,30,"<input\n          className=""flex-1 bg-[#1a1a1a] border border-[#333] rounded px-1 py-0.5 text-xs text-white font-mono""\n          value={value}\n          onChange={(e) => onChange(e.target.value)}",value={value || '#333333'} onChange={(e) => onChange(e.target.value)} />
button,src/features/manifest-editor/components/inspector/fields/FieldRenderer.tsx,122,<button\n                key={opt.value}\n                onClick={() => {\n                  if (!field.path) return;\n                  if (isMulti) {\n                    const arr: string[] = Arra,} return (
"input[type=""text""]",src/features/manifest-editor/components/inspector/LayerRow.tsx,230,"<input\n                type=""text""\n                value={editValue}\n                onChange={(e) => setEditValue(e.target.value)}","style: { color: isSelected ? undefined : nodeColor }, })} {isEditing ? ("
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,510,<button\n              key={type}\n              onClick={() => setTypeFilter(type)}\n              className={`inline-flex items-center gap-1 px-1.5 py-0.5 border rounded-xs uppercase tracking-widest,"<div className=""flex flex-wrap gap-1""> {COMPONENT_FILTERS.map(({ type, label, icon: Icon }) => ("
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,609,<button onClick={() => setShowHistory(!showHistory)} onMouseEnter={() => setHoverHistory(true)} onMouseLeave={() => setHoverHistory(false)}\n                    className={`inline-flex items-center ga,")} {batchHistory.length > 0 && ( <div className=""relative"">"
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,752,"<button onClick={() => { onGroupSelected(); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black uppercase trackin",onClick={(e) => e.stopPropagation()} > {multiSelectedIds.length >= 2 && onGroupSelected && (
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,756,"<button onClick={() => { onGroupDown(contextMenu.nodeId); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black upp","className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black uppercase tracking-"
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,760,"<button onClick={() => { onMoveNodeUpDown(contextMenu.nodeId, 'up'); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] fon","className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black uppercase tracking-"
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,762,"<button onClick={() => { onMoveNodeUpDown(contextMenu.nodeId, 'down'); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] f","{multiSelectedIds.length === 1 && onMoveNodeUpDown && (<> <button onClick={() => { onMoveNodeUpDown(contextMenu.nodeId, "
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,766,"<button onClick={() => { onDuplicateItem(contextMenu.nodeId); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black","className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black uppercase tracking-"
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,770,"<button onClick={() => { onDuplicateGroup(contextMenu.nodeId); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-blac","className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black uppercase tracking-"
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,774,"<button onClick={() => { onUngroupNode(contextMenu.nodeId); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black u","className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black uppercase tracking-"
button,src/features/manifest-editor/components/inspector/LayersPanel.tsx,778,"<button onClick={() => { onSaveGroupAsBlueprint(contextMenu.nodeId); closeContextMenu(); }}\n              className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] fon","className=""w-full text-left px-2 py-1.5 hover:bg-primary/20 hover:text-primary text-[8px] font-black uppercase tracking-"
"input[type=""text""]",src/features/manifest-editor/components/inspector/LayersPanel.tsx,496,"<input\n            type=""text""\n            placeholder=""Search layers...""\n            value={searchTerm}\n            onChange={(e) => setSearchTerm(e.target.value)}","<div className=""p-2 border-b wb-outline flex flex-col gap-1.5 wb-surface-subtle shrink-0""> <div className=""relative flex"
"input[type=""text""]",src/features/manifest-editor/components/inspector/LayersPanel.tsx,552,"<input type=""text"" placeholder=""Property → bind, value, min, max...""\n            value={propertySearchTerm} onChange={(e) => setPropertySearchTerm(e.target.value)}","<div className=""relative flex items-center""> <Search className=""absolute left-2 w-3 h-3 wb-text-muted opacity-30"" />"
button,src/features/manifest-editor/components/inspector/ManifestDiffViewer.tsx,70,"<button\n            onClick={() => onApplyAll(diff.entries)}\n            className=""flex items-center gap-2 px-3 py-1.5 rounded-xs bg-primary/20 border border-primary/40 hover:bg-primary/30 transiti",</div> {onApplyAll && (
button,src/features/manifest-editor/components/inspector/ModulationItem.tsx,72,"<button \n             onClick={(e) => { e.stopPropagation(); onRemove(mod.id); }} \n             className=""text-slate-400 dark:text-foreground/10 hover:text-red-500 transition-colors p-1.5 bg-slate-","<span className=""text-[6px] font-black wb-text-muted uppercase"">Amount</span> <span className=""text-[10px] font-mono fon"
"input[type=""range""]",src/features/manifest-editor/components/inspector/ModulationItem.tsx,91,"<input \n                 type=""range"" min=""0"" max=""1"" step=""0.01""\n                 value={mod.amount ?? 1.0}\n                 onClick={(e) => e.stopPropagation()}","<label className=""text-[7px] font-black uppercase wb-text-muted"">Modulation Depth</label> <span className=""text-[8px] fo"
button,src/features/manifest-editor/components/inspector/primitives/DisplayProperties.tsx,52,<button\n              key={t.id}\n              onClick={() => updateVariant(t.id)}\n              className={`w-full p-3 border rounded-xs transition-all flex flex-col items-start gap-1 group relati,"</label> <div className=""space-y-2""> {tech.map((t) => ("
"input[type=""range""]",src/features/manifest-editor/components/inspector/primitives/DisplayProperties.tsx,80,"<input \n             type=""range"" \n             min=""0"" \n             max=""6"" \n             value={precision}\n             onChange={(e) => updatePrecision(parseInt(e.target.value))}","<span>Visual UI Precision</span> </label> <div className=""flex items-center gap-4 bg-black/40 border border-outline/10 p"
"input[type=""number""]",src/features/manifest-editor/components/inspector/primitives/IllustrationProperties.tsx,44,"<input \n                    type=""number"" value={size.width} \n                    onChange={(e) => onUpdate({ presentation: { ...pres, size: { ...size, width: Number(e.target.value) } } } as Partial","<div className=""grid grid-cols-2 gap-3""> <div className=""space-y-1""> <span className=""text-[7px] font-bold opacity-50 up"
